Page path,Opposite language page path,Topic,Sub topic,Page title,Opposite language page title,Keywords
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/ukraine-measures,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/mesures-ukraine.html,Immigrate,Ukraine,Immigration measures and support for Ukrainians and their families,Mesures d?immigration pour les personnes touchÇes par la situation en Ukraine,"Ukraine, canada, political, condition, situation, response"
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/entree-express.html,Immigrate,Express Entry,Immigrate through Express Entry,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/candidats-provinces.html,Immigrate,PNP,Immigrate as a provincial nominee,,Immigrate as a provincial nominee
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/quebec-skilled-workers,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/travailleurs-qualifies-quebec.html,Immigrate,QSW,Quebec-selected skilled workers: About the process,Travailleurs qualifiÇs sÇlectionnÇs par le QuÇbec,Skilled workers; Citizenship; Immigration;
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/self-employed,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/travailleurs-autonomes.html,Immigrate,Self Employed,Immigrate as a self-employed person: About the process,Immigrer Öˇ titre de travailleur autonome,Business migration; Business Immigration Program; Business class immigrants; Self-employed people; Farming; Cultural events; Work experience
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille.html,Immigrate,Sponsorship,Sponsor your family members to immigrate to Canada,Parrainer un membre de la famille,Sponsorship; Family class immigrants; Permanent residents
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/start-visa,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/visa-demarrage.html,Immigrate,Start up visa,Start-up Visa Program,Programme de visa pour dÇmarrage d?entreprise,Entrepreneurs; Investors; Immigration; Citizenship
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/caregivers,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/aides-familiaux.html,Immigrate,Caregivers,Caregivers,Aides familiaux - Options pour la rÇsidence permanente,Immigrate; Caregiver Program
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/inadmissibility,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/interdiction-territoire.html,Immigrate,Inadmissibility,Find out if you?re inadmissible,DÇterminer si vous àtes interdit de territoire,Permanent resident card; Proof of citizenship; Permanent residence
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/investors,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/investisseurs.html,Immigrate,Investors,Immigrant Investor Program,Programme d?immigration des investisseurs,Business migration; Business Immigration Program; Business class immigrants; Investors
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/rural-northern-immigration-pilot,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/programme-pilote-immigration-rurale-nord.html,Immigrate,RNIP,Rural and Northern Immigration Pilot: about the pilot,Le Programme pilote d?immigration dans les communautÇs rurales et du Nord ,"rural, northern, immigration pilot"
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/gta-construction-workers-about,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/rgt-travailleurs-construction-au-sujet.html,Immigrate,GTA,Subsequent temporary public policy to continue to facilitate access to permanent resident status for out-of-status construction workers in the Greater Toronto Area: About the public policy,Politique d?intÇràt public temporaire pour les travailleurs de la construction sans statut dans la rÇgion du Grand Toronto : Au sujet de la politique d?intÇràt public,"Construction workers, Toronto, Greater Toronto Area, GTA, public policy, permanent residence "
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/agri-food-pilot,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/programme-pilote-sur-lagroalimentaire.html,Immigrate,Agrifood,Agri-Food Pilot,Programme pilote sur l?agroalimentaire,"Agri-Food Immigration Pilot, eligible, how to apply, permanent residents, PR, agriculture"
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada.html,Visit,Landing page,Visit Canada,Visiter le Canada,Foreign visitors; Visitor visas
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/about-visitor-visa,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/au-sujet-visa-visiteur.html,Visit,Apply for visitor visa,Visitor visa: About the document,Visa de visiteur : Au sujet du document,"visitor, visa, temporary, resident, application, process, trv, vistor, visitor, visiter, apply, application"
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/business,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/affaires.html,Visit,Business,Visit Canada on business,,Foreign visitors; Temporary resident visas; Business development; International conventions
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/ave.html,Visit,eTA,Electronic Travel Authorization (eTA),Autorisation de voyage Çlectronique (AVE),Foreign visitors; Visitor visas; Electronic Travel Authorization
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/extend-stay,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/prolonger-sejour.html,Visit,Stay in Canada longer,Extend your stay in Canada: About the document,Prolonger votre sÇjour au Canada Öˇ titre de visiteur,"visitor extension, extend visa, visit, change permit type, extend status, visitor record"
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/parent-grandparent-super-visa,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/super-visa-parents-grands-parents.html,Visit,PGP Super visa,Parent and grandparent super visa,Super visa pour parents et grands-parents,Foreign visitors; Visitor visas; Visiting
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/transit,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/transiter.html,Visit,Transit,Transit through Canada,,"transit, Canada, transit visa, transit without a visa, TWOV"
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada.html,Work,Landing page,Work in Canada,,Foreign workers; Work permits; Applications
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/permis.html,Work,Permit,Get a work permit,Permis,Foreign workers; Work permits; Applications
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit/temporary,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/permis/temporaire.html,Work,Temporary permit,Work in Canada temporarily,Travailler au Canada temporairement,Foreign workers; Work permits; Applications; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/extend-permit,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/prolongation-permis.html,Work,Extend permit,Extend your work permit,Prolonger votre permis de travail,Foreign workers; Work permits; Applications; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/eic.html,Work,IEC,Work and travel in Canada with International Experience Canada,,"IEC, International Experience Canada"
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/hire-foreign-worker,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/embaucher-travailleur-etranger.html,Work,Foreign workrs,Hire foreign workers,Embaucher un travailleur Çtranger,Foreign workers; Employers; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/hire-permanent-foreign,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/embaucher-etranger-permanents.html,Work,Hire permanent foreign workers,Hire a permanent foreign worker,,Foreign workers; Employers; Work permits
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/hire-temporary-foreign,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/embaucher-etranger-temporaires.html,Work,Hire temporary foreign workers,Hire a temporary foreign worker,Embaucher un travailleur temporaire,Temporary workers; Employers; Work permits
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/etudier-canada.html,Study,Landing page,Study in Canada as an international student,,Foreign students; Study permit; Applications; Educational institution s
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/etudier-canada/permis-etudes.html,Study,Study permit,Study permit: About the process,,Study permit
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/etudier-canada/prolongation-permis-etudes.html,Study,Extend study permits,Extend your study permit or restore your status: About the process,Faire proroger votre permis d?Çtudes,Foreign students; Study permit; Applications; Educational institutions
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/etudier-canada/travail.html,Study,Work while studying,Studying and working in Canada as an international student,êtudier et travailler au Canada,Foreign students; Study permit; Work permits
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/educational-institutions,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/etudier-canada/etablissements-enseignement.html,Study,DLI,Designated Learning Institutions in Canada,êtablissements d?enseignement,Foreign students; Study permit; Guardianship; Work permits; Educational institutions
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne.html,Citizenship,Landing page,Canadian citizenship,,Citizenship; Canadian citizen; Qualifications; Citizenship test
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/become-canadian-citizen,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/devenir-citoyen-canadien.html,Citizenship,Apply for citizenship,Apply for Canadian citizenship,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/proof-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/preuve-citoyennete.html,Citizenship,Proof of citizenship,Get proof of citizenship,Obtenir une preuve de citoyennetÇ,Citizenship; Canadian citizen; Qualifications; Citizenship test; Proof of citizenship
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/renounce-canadian-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/repudiation-citoyennete-canadienne.html,Citizenship,Renounciation,Give up (renounce) Canadian citizenship: About the process,,Citizenship; Canadian citizen; Qualifications; Citizenship test; Renunciation of citizenship
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/take-part-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/citoyennete-active.html,Citizenship,Take part,Take part in our citizenship,CitoyennetÇ active,Canadian Residents
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants.html,Newcomers,Landing page,For new immigrants,Nouveaux Immigrants,
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/learn-about-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/apprendre-sujet-canada.html,Newcomers,Get to know Canada,Get to know Canada,Apprendre Öˇ connaåtre le Canada,Permanent residents
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/prepare-life-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/preparer-vie-canada.html,Newcomers,Prepare for life,Prepare for life in Canada,Se prÇparer Öˇ la vie au Canada,Resettlement
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/new-life-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/nouvelle-vie-canada.html,Newcomers,Start your life,Start your life in Canada,,Newcomers; Live in Canada
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-card,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/carte-rp.html,Newcomers,Get PR card,Get a permanent resident card,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-travel-document,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/titre-voyage-rp.html,Newcomers,Get PR travel doc,Permanent resident travel document: About the process,Titre de voyage pour rÇsident permanent,Travel documents; Permanent residents;
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/canadiens.html,Canadians,Landing page,Immigration and citizenship for Canadians,Pour les Canadiens,Canadian Residents immigration
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians/adopt-child-abroad,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/canadiens/adopter-enfant-autre-pays.html,Canadians,Adopt child from abroad,Adopt a child from abroad,Adopter un enfant d?un autre pays,Intercountry adoption; Children; Hague Convention
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians/international-experience-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/canadiens/experience-internationale-canada.html,Canadians,IEC,Work and travel abroad with International Experience Canada,Canadiensˇ: Voyager et travailler Öˇ l?Çtranger avec ExpÇrience internationale Canada,"IEC, EIC, IEC canada, gap year, working holiday visa, working holiday, canadians travel abroad, canadians work abroad, international experience, international work experience, work term abroad, co-op abroad, travel holiday, youth, international experience canada, programs for young canadians, work permit"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians/celebrate-being-canadian,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/canadiens/celebrer-fait-etre-canadien.html,Canadians,Celebrate,Celebrate being Canadian,CÇlÇbrer le fait d?àtre Canadien,Citizenship; Oath of citizenship; Rights and responsibilities of citizenship
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens.html,Passport,Landing page,Canadian passports and other travel documents: Applying in Canada,,"passport, Canada, apply, renew, travel document, refugee travel document, certificate of identity, certified true copy, name change, gender identifier, special passport, diplomatic passport, lost passport, stolen passport, passport fraud, passport photo, forms, official travel, child safety, system lookout, processing times, urgent, urgent passport"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/child-passport,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/passeport-enfant.html,Passport,Child passport,How to apply for a child passport in Canada,Demander un passeport pour enfant : Ö propos du processus,"passport, child, adopted, foster child, Canada, Canadian, application, apply, how to apply, about the process, who can apply, after you apply, features, epassport"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/security,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/securite-passeports.html,Passport,Security,Passport security,SÇcuritÇ des passeports,Passport
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/new-adult-passport,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/nouveau-passeport-adulte.html,Passport,New adult,How to apply for an adult passport in Canada,Demande de passeport - adultes,"passport, adult, Canada, Canadian, application, apply, how to apply, about the process, who can apply, after you apply, features, epassport"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/renew-adult-passport,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/renouvellement-passeport-adulte.html,Passport,Renew adult,How to renew a passport in Canada,Renouvellement d?un passeport - adultes,"passport, apply, how to apply, application, steps, process, required documents, supporting documents, photo, guarantor, references, submit application, fees, how to submit"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/forms,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/formulaires.html,Passport,Forms,Find a passport or travel document form,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/processing-times,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/delais-traitement.html,Passport,Processing times,Check passport and travel document service standards,VÇrifier les dÇlais de traitement pour les services de passeport,Passport
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/fees,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/frais.html,Passport,Fees,"Pay your fees for a Canadian passport, a travel document or other services","Payer les droits exigÇs pour un passeport canadien, un document de voyage ou d?autres services",Passport
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/travel-documents-non-canadians,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/documents-voyage-ne-sont-canadiens.html,Passport,Travel documents,Apply for a travel document for non-Canadians: About the process,Documents de voyage pour les adultes et enfants qui ne sont pas canadiens,Passport
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/contact-passport-program,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/communiquer-programme-passeport.html,Passport,Contact,Contact the Passport Program,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/help-centre,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/centre-aide.html,Passport,Help centre,Passport Help Centre,Centre d?aide du Programme de passeport,Passport
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/official-travel,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/voyages-officiels.html,Passport,Official tracel,Official travel: Passports for people travelling on Government of Canada business,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies.html,Refugees,Landing page,Refugees and asylum,RÇfugiÇs et demandes d?asile,Refugees; Refugee protection; Sponsorship;  World Refugee Day; WRD
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/canada-role,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/role-canada.html,Refugees,How the system works,How Canada?s refugee system works,Fonctionnement du systäme canadien de protection des rÇfugiÇs,Refugees; Refugee protection; Sponsorship
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/demandes-asile.html,Refugees,Asylum claims,Refugee claims by year,Demandes d?asile,Refugees; Refugee protection; Sponsorship
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/claim-protection-inside-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/presenter-demande-asile-canada.html,Refugees,Asylum claims from inside Canada,Claim refugee status from inside Canada: About the process,,Refugees; Refugee claims; Applications
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-partir-canada.html,Refugees,Services for refugees,Find refugee services in Canada,Obtenir de l?aide Öˇ partir du Canada,Refugees; Refugee protection; Sponsorship
https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-outside-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-exterieur-canada.html,Refugees,Resettle in Canada as a refugee,Resettle in Canada as a refugee,RÇinstallation depuis l?extÇrieur du Canada,Refugees; Resettlement Assistance Program; Refugee sponsorship
